PMissing,SampleSize,PopR_mean,Full,SFA,SFB,SFC,PM
0.2,200,0.2,0.058,0.053,0.076,0.038,0.065
0.4,200,0.2,0.054,0.054,0.08,0.064,0.073
0.6,200,0.2,0.051,0.056,0.084,0.089,0.08
0.8,200,0.2,0.048,0.057,0.088,0.115,0.087
0.2,200,0.4,0.042,0.041,0.064,0.054,0.057
0.4,200,0.4,0.047,0.051,0.077,0.088,0.072
0.6,200,0.4,0.052,0.061,0.089,0.122,0.088
0.8,200,0.4,0.057,0.07,0.101,0.156,0.103
0.2,200,0.6,0.027,0.03,0.053,0.071,0.048
0.4,200,0.6,0.04,0.048,0.073,0.113,0.072
0.6,200,0.6,0.053,0.065,0.094,0.155,0.096
0.8,200,0.6,0.066,0.083,0.114,0.197,0.119
0.2,200,0.8,0.011,0.018,0.042,0.087,0.04
0.4,200,0.8,0.032,0.044,0.07,0.137,0.072
0.6,200,0.8,0.053,0.07,0.099,0.187,0.103
0.8,200,0.8,0.075,0.096,0.127,0.238,0.135
0.2,400,0.2,0.049,0.045,0.062,0.032,0.052
0.4,400,0.2,0.045,0.046,0.066,0.057,0.059
0.6,400,0.2,0.042,0.047,0.07,0.082,0.066
0.8,400,0.2,0.038,0.048,0.073,0.108,0.073
0.2,400,0.4,0.034,0.034,0.051,0.049,0.044
0.4,400,0.4,0.038,0.043,0.063,0.082,0.059
0.6,400,0.4,0.043,0.052,0.075,0.116,0.074
0.8,400,0.4,0.048,0.061,0.087,0.149,0.09
0.2,400,0.6,0.019,0.023,0.041,0.066,0.036
0.4,400,0.6,0.032,0.04,0.061,0.107,0.059
0.6,400,0.6,0.044,0.057,0.081,0.149,0.083
0.8,400,0.6,0.057,0.075,0.101,0.191,0.106
0.2,400,0.8,0.004,0.012,0.03,0.083,0.028
0.4,400,0.8,0.025,0.037,0.058,0.132,0.06
0.6,400,0.8,0.046,0.063,0.086,0.182,0.091
0.8,400,0.8,0.067,0.088,0.115,0.232,0.123
0.2,600,0.2,0.04,0.036,0.048,0.025,0.039
0.4,600,0.2,0.036,0.037,0.052,0.05,0.045
0.6,600,0.2,0.032,0.038,0.055,0.076,0.052
0.8,600,0.2,0.028,0.039,0.059,0.101,0.059
0.2,600,0.4,0.025,0.026,0.038,0.043,0.031
0.4,600,0.4,0.03,0.035,0.05,0.076,0.046
0.6,600,0.4,0.034,0.044,0.062,0.11,0.061
0.8,600,0.4,0.039,0.053,0.073,0.143,0.076
0.2,600,0.6,0.011,0.015,0.028,0.06,0.024
0.4,600,0.6,0.023,0.032,0.048,0.102,0.047
0.6,600,0.6,0.036,0.05,0.068,0.143,0.07
0.8,600,0.6,0.049,0.067,0.088,0.185,0.093
0.2,600,0.8,-0.004,0.005,0.018,0.078,0.017
0.4,600,0.8,0.017,0.03,0.046,0.128,0.048
0.6,600,0.8,0.038,0.055,0.074,0.177,0.079
0.8,600,0.8,0.059,0.081,0.102,0.227,0.11
0.2,800,0.2,0.03,0.027,0.035,0.019,0.025
0.4,800,0.2,0.027,0.028,0.038,0.044,0.032
0.6,800,0.2,0.023,0.029,0.041,0.069,0.038
0.8,800,0.2,0.019,0.029,0.045,0.094,0.045
0.2,800,0.4,0.017,0.018,0.025,0.037,0.018
0.4,800,0.4,0.021,0.026,0.037,0.07,0.033
0.6,800,0.4,0.025,0.035,0.048,0.103,0.048
0.8,800,0.4,0.029,0.044,0.059,0.136,0.062
0.2,800,0.6,0.003,0.008,0.016,0.055,0.012
0.4,800,0.6,0.015,0.025,0.035,0.097,0.034
0.6,800,0.6,0.028,0.042,0.055,0.138,0.057
0.8,800,0.6,0.04,0.059,0.074,0.179,0.08
0.2,800,0.8,-0.011,-0.002,0.006,0.074,0.005
0.4,800,0.8,0.01,0.023,0.034,0.123,0.036
0.6,800,0.8,0.03,0.048,0.061,0.172,0.067
0.8,800,0.8,0.051,0.073,0.089,0.222,0.098
0.2,1000,0.2,0.021,0.019,0.021,0.013,0.012
0.4,1000,0.2,0.017,0.019,0.024,0.037,0.018
0.6,1000,0.2,0.013,0.02,0.027,0.062,0.024
0.8,1000,0.2,0.009,0.02,0.03,0.087,0.031
0.2,1000,0.4,0.008,0.01,0.012,0.031,0.006
0.4,1000,0.4,0.012,0.018,0.023,0.064,0.02
0.6,1000,0.4,0.016,0.027,0.034,0.097,0.034
0.8,1000,0.4,0.02,0.035,0.046,0.13,0.049
0.2,1000,0.6,-0.005,0,0.003,0.05,-0.001
0.4,1000,0.6,0.007,0.017,0.022,0.091,0.022
0.6,1000,0.6,0.019,0.034,0.042,0.132,0.045
0.8,1000,0.6,0.031,0.05,0.061,0.173,0.067
0.2,1000,0.8,-0.018,-0.009,-0.006,0.069,-0.007
0.4,1000,0.8,0.002,0.016,0.022,0.118,0.024
0.6,1000,0.8,0.022,0.041,0.049,0.167,0.055
0.8,1000,0.8,0.043,0.066,0.077,0.216,0.086
